*** Country code for Worldbank data. Manually added some categorizations as well,,,
Country Code,Country,Region,Continent
AFG,Afghanistan,South Asia,Asia
ALB,Albania,Europe & Central Asia,Europe
DZA,Algeria,Middle East & North Africa,Africa
ASM,American Samoa,East Asia & Pacific,Asia
AND,Andorra,Europe & Central Asia,Europe
AGO,Angola,Sub-Saharan Africa,Africa
ATG,Antigua and Barbuda,Latin America & Caribbean,
ARG,Argentina,Latin America & Caribbean,South America
ARM,Armenia,Europe & Central Asia,Europe
ABW,Aruba,Latin America & Caribbean,
AUS,Australia,East Asia & Pacific,Asia
AUT,Austria,Europe & Central Asia,Europe
AZE,Azerbaijan,Europe & Central Asia,Europe
BHS,"Bahamas, The",Latin America & Caribbean,
BHR,Bahrain,Middle East & North Africa,Asia
BGD,Bangladesh,South Asia,Asia
BRB,Barbados,Latin America & Caribbean,
BLR,Belarus,Europe & Central Asia,Europe
BEL,Belgium,Europe & Central Asia,Europe
BLZ,Belize,Latin America & Caribbean,
BEN,Benin,Sub-Saharan Africa,Africa
BMU,Bermuda,North America,North America
BTN,Bhutan,South Asia,Asia
BOL,Bolivia,Latin America & Caribbean,South America
BIH,Bosnia and Herzegovina,Europe & Central Asia,Europe
BWA,Botswana,Sub-Saharan Africa,Africa
BRA,Brazil,Latin America & Caribbean,South America
VGB,British Virgin Islands,Latin America & Caribbean,
BRN,Brunei Darussalam,East Asia & Pacific,Asia
BGR,Bulgaria,Europe & Central Asia,Europe
BFA,Burkina Faso,Sub-Saharan Africa,Africa
BDI,Burundi,Sub-Saharan Africa,Africa
CPV,Cabo Verde,Sub-Saharan Africa,Africa
KHM,Cambodia,East Asia & Pacific,Asia
CMR,Cameroon,Sub-Saharan Africa,Africa
CAN,Canada,North America,North America
CYM,Cayman Islands,Latin America & Caribbean,
CAF,Central African Republic,Sub-Saharan Africa,Africa
TCD,Chad,Sub-Saharan Africa,Africa
CHI,Channel Islands,Europe & Central Asia,Europe
CHL,Chile,Latin America & Caribbean,South America
CHN,China,East Asia & Pacific,Asia
COL,Colombia,Latin America & Caribbean,South America
COM,Comoros,Sub-Saharan Africa,Africa
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Africa
COG,"Congo, Rep.",Sub-Saharan Africa,Africa
CRI,Costa Rica,Latin America & Caribbean,
CIV,Côte d'Ivoire,Sub-Saharan Africa,Africa
HRV,Croatia,Europe & Central Asia,Europe
CUB,Cuba,Latin America & Caribbean,
CUW,Curaçao,Latin America & Caribbean,
CYP,Cyprus,Europe & Central Asia,Europe
CZE,Czechia,Europe & Central Asia,Europe
DNK,Denmark,Europe & Central Asia,Europe
DJI,Djibouti,Middle East & North Africa,Africa
DMA,Dominica,Latin America & Caribbean,
DOM,Dominican Republic,Latin America & Caribbean,
ECU,Ecuador,Latin America & Caribbean,South America
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Africa
SLV,El Salvador,Latin America & Caribbean,
GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa
ERI,Eritrea,Sub-Saharan Africa,Africa
EST,Estonia,Europe & Central Asia,Europe
SWZ,Eswatini,Sub-Saharan Africa,Africa
ETH,Ethiopia,Sub-Saharan Africa,Africa
FRO,Faroe Islands,Europe & Central Asia,Europe
FJI,Fiji,East Asia & Pacific,Asia
FIN,Finland,Europe & Central Asia,Europe
FRA,France,Europe & Central Asia,Europe
,French Guiana,Latin America & Caribbean,South America
PYF,French Polynesia,East Asia & Pacific,Asia
GAB,Gabon,Sub-Saharan Africa,Africa
GMB,"Gambia, The",Sub-Saharan Africa,Africa
GEO,Georgia,Europe & Central Asia,Europe
DEU,Germany,Europe & Central Asia,Europe
GHA,Ghana,Sub-Saharan Africa,Africa
GIB,Gibraltar,Europe & Central Asia,Europe
GRC,Greece,Europe & Central Asia,Europe
GRL,Greenland,Europe & Central Asia,Europe
GRD,Grenada,Latin America & Caribbean,
GUM,Guam,East Asia & Pacific,Asia
GTM,Guatemala,Latin America & Caribbean,
GIN,Guinea,Sub-Saharan Africa,Africa
GNB,Guinea-Bissau,Sub-Saharan Africa,Africa
GUY,Guyana,Latin America & Caribbean,South America
HTI,Haiti,Latin America & Caribbean,
HND,Honduras,Latin America & Caribbean,
HKG,"Hong Kong SAR, China",East Asia & Pacific,Asia
HUN,Hungary,Europe & Central Asia,Europe
ISL,Iceland,Europe & Central Asia,Europe
IND,India,South Asia,Asia
IDN,Indonesia,East Asia & Pacific,Asia
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Asia
IRQ,Iraq,Middle East & North Africa,Asia
IRL,Ireland,Europe & Central Asia,Europe
IMN,Isle of Man,Europe & Central Asia,Europe
ISR,Israel,Middle East & North Africa,Asia
ITA,Italy,Europe & Central Asia,Europe
JAM,Jamaica,Latin America & Caribbean,
JPN,Japan,East Asia & Pacific,Asia
JOR,Jordan,Middle East & North Africa,Asia
KAZ,Kazakhstan,Europe & Central Asia,Asia
KEN,Kenya,Sub-Saharan Africa,Africa
KIR,Kiribati,East Asia & Pacific,Asia
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Asia
KOR,"Korea, Rep.",East Asia & Pacific,Asia
XKX,Kosovo,Europe & Central Asia,Europe
KWT,Kuwait,Middle East & North Africa,Asia
KGZ,Kyrgyz Republic,Europe & Central Asia,Asia
